"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
593156;"Animalia";"Arthropoda";"Hexapoda";"Ephemeroptera";"Heptageniidae";NA
132627;"Animalia";"Porifera";"Demospongiae";"Suberitida";"Halichondriidae";"Halichondria"
609925;"Chromista";"Heterokontophyta";"Bacillariophyceae";"Naviculales";"Pinnulariaceae";"Pinnularia"
451838;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Portunidae";"Achelous"
204975;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Congridae";"Gorgasia"
127232;"Animalia";"Chordata";"Teleostei";"Dactylopteriformes";"Dactylopteridae";"Dactylopterus"
126916;"Animalia";"Chordata";"Teleostei";"Gobiiformes";"Gobiidae";"Neogobius"
209502;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Calappidae";"Calappa"
699648;"Chromista";"Ochrophyta";"Phaeophyceae";"Ectocarpales";"Acinetosporaceae";"Feldmannia"
100696;"Animalia";"Cnidaria";"Hexacorallia";"Actiniaria";"Actiniidae";"Anthopleura"
603334;"Chromista";"Myzozoa";"Dinophyceae";"Suessiales";"Suessiaceae";"Biecheleria"
837862;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Rhodomelaceae";"Laurenciella"
1380439;"Plantae";"Rhodophyta";"Florideophyceae";"Gracilariales";"Gracilariaceae";"Crassa"
137696;"Animalia";"Mollusca";"Gastropoda";NA;"Plakobranchidae";"Bosellia"
266995;"Animalia";"Chordata";"Teleostei";"Atheriniformes";"Atherinopsidae";NA
159427;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Nomeidae";"Psenes"
1605256;"Animalia";"Chordata";"Teleostei";"Lophiiformes";"Antennariidae";"Abantennarius"
296855;"Animalia";"Chordata";"Teleostei";"Perciformes";"Serranidae";"Hyporthodus"
219734;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Istiophoridae";"Tetrapturus"
106057;"Animalia";"Arthropoda";"Thecostraca";"Balanomorpha";"Balanidae";NA
126863;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Gempylidae";"Lepidocybium"
270080;"Animalia";"Chordata";"Teleostei";"Ophidiiformes";"Bythitidae";"Ogilbia"
273679;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Nomeidae";"Cubiceps"
105858;"Animalia";"Chordata";"Elasmobranchii";"Myliobatiformes";"Mobulidae";"Mobula"
275234;"Animalia";"Chordata";"Teleostei";"Tetraodontiformes";"Balistidae";"Balistes"
221416;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Bramidae";"Brama"
384791;"Animalia";"Arthropoda";"Hexapoda";"Archaeognatha";"Machilidae";"Machilis"
127383;"Animalia";"Chordata";"Teleostei";"Syngnathiformes";"Syngnathidae";"Nerophis"
1753936;"Animalia";"Arthropoda";"Hexapoda";"Symphypleona";NA;NA
435041;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Raphitomidae";"Thatcheria"
286695;"Animalia";"Cnidaria";"Octocorallia";"Scleralcyonacea";"Virgulariidae";"Stylatula"
1490413;"Animalia";"Arthropoda";"Hexapoda";"Hymenoptera";"Pteromalidae";NA
219722;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Scombridae";"Thunnus"
284045;"Animalia";"Cnidaria";"Hydrozoa";"Leptothecata";"Aglaopheniidae";"Aglaophenia"
231796;"Chromista";"Myzozoa";"Dinophyceae";"Gonyaulacales";"Amphidomataceae";NA
100236;"Fungi";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Penicillium"
1516502;"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Arvicanthis"
217473;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Enchelycore"
271855;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Gymnothorax"
276919;"Animalia";"Chordata";"Teleostei";"Perciformes";"Serranidae";"Dermatolepis"
126039;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Nomeidae";"Psenes"
125539;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Istiophoridae";NA
159293;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Priacanthidae";"Pristigenys"
712501;"Animalia";"Chordata";"Teleostei";"Lophiiformes";"Antennariidae";"Antennatus"
104504;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Clausocalanidae";"Clausocalanus"
882228;"Animalia";"Arthropoda";"Thecostraca";"Balanomorpha";"Tetraclitidae";"Tetraclita"
117567;"Animalia";"Cnidaria";"Hydrozoa";"Limnomedusae";"Geryoniidae";"Geryonia"
117305;"Animalia";"Cnidaria";"Hydrozoa";"Leptothecata";"Aglaopheniidae";"Macrorhynchia"
131655;"Animalia";"Porifera";"Demospongiae";"Poecilosclerida";"Hymedesmiidae";NA
137222;"Animalia";"Chordata";"Thaliacea";"Doliolida";"Doliolidae";"Doliolum"
273712;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Chromis"
158230;"Animalia";"Cnidaria";"Hexacorallia";"Actiniaria";"Diadumenidae";"Diadumene"
135396;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Forskaliidae";"Forskalia"
205017;"Animalia";"Mollusca";"Bivalvia";"Mytilida";"Mytilidae";"Leiosolenus"
1450708;"Animalia";"Porifera";"Demospongiae";"Clionaida";"Clionaidae";"Cliona"
244093;"Animalia";"Echinodermata";"Ophiuroidea";"Amphilepidida";"Ophiotrichidae";"Ophiothela"
394868;"Animalia";"Bryozoa";"Gymnolaemata";"Cheilostomatida";"Celleporidae";"Celleporaria"
117114;"Animalia";"Cnidaria";"Hydrozoa";"Leptothecata";"Halopterididae";"Halopteris"
144716;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Delesseriaceae";"Dasya"
225740;"Animalia";"Cnidaria";"Hydrozoa";"Leptothecata";"Campanulariidae";"Clytia"
579402;"Animalia";"Porifera";"Demospongiae";"Tetractinellida";"Thoosidae";"Thoosa"
286209;"Animalia";"Cnidaria";"Octocorallia";"Malacalcyonacea";"Gorgoniidae";"Leptogorgia"
442138;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Mithracidae";"Teleophrys"
135485;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Agalmatidae";"Agalma"
220913;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Candaciidae";"Candacia"
848408;"Animalia";"Ctenophora";"Tentaculata";"Cestida";"Cestidae";"Vexillum"
1517457;"Animalia";"Chordata";"Teleostei";"Cypriniformes";"Xenocyprididae";NA
212599;"Animalia";"Chordata";"Aves";"Pelecaniformes";"Sulidae";"Sula"
106356;"Animalia";"Ctenophora";"Tentaculata";"Lobata";"Ocyropsidae";"Ocyropsis"
212034;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Uropterygius"
127003;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Priacanthidae";"Cookeolus"
837690;"Chromista";"Heterokontophyta";"Bacillariophyceae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
146959;"Plantae";"Rhodophyta";"Florideophyceae";"Gracilariales";"Gracilariaceae";"Gracilariopsis"
165967;"Animalia";"Porifera";"Demospongiae";"Axinellida";"Heteroxyidae";NA
265210;"Animalia";"Ctenophora";"Tentaculata";"Lobata";"Leucotheidae";"Leucothea"
196096;"Animalia";"Cnidaria";"Hexacorallia";"Scleractinia";"Agariciidae";NA
989555;"Animalia";"Arthropoda";"Hexapoda";"Thysanoptera";"Thripidae";"Aptinothrips"
